task,seed,model_kind,extraction_type,backend,dcsa_agreement,dcsa_mean_l1,faithfulness_pass,extraction_success,n_extracted_states,n_minimal_states,state_count_error,fidelity_to_transformer_iid,fidelity_to_transformer_ood,ground_truth_accuracy_iid,ground_truth_accuracy_ood,whitebox_blackbox_disagreement_iid,whitebox_blackbox_disagreement_ood,notes
parity,0,direct,whitebox,zhang_lstar,0.991000,0.096235,1,1,23,2,21,0.920000,0.998000,0.668000,0.499500,,,
parity,0,cot_true,whitebox,zhang_lstar,0.988000,0.112466,1,1,2,2,0,0.984000,0.508500,1.000000,1.000000,,,
parity,0,cot_pad,whitebox,zhang_lstar,0.999000,0.113974,1,1,2,2,0,0.548000,0.500500,1.000000,1.000000,,,
parity,1,direct,whitebox,zhang_lstar,1.000000,0.145589,1,1,5,2,3,0.985500,1.000000,0.576500,0.510500,,,
parity,1,cot_true,whitebox,zhang_lstar,1.000000,0.019811,1,1,2,2,0,1.000000,0.490000,1.000000,1.000000,,,
parity,1,cot_pad,whitebox,none,0.913000,0.143603,0,0,,2,,,,,,,,DCSA failed faithfulness gate; extraction skipped.
parity,2,direct,whitebox,zhang_lstar,0.992000,0.124751,1,1,21,2,19,0.987500,1.000000,0.639000,0.488000,,,
parity,2,cot_true,whitebox,zhang_lstar,1.000000,0.029723,1,1,3,2,1,1.000000,0.480500,1.000000,1.000000,,,
parity,2,cot_pad,whitebox,none,0.948000,0.110936,0,0,,2,,,,,,,,DCSA failed faithfulness gate; extraction skipped.
parity,3,direct,whitebox,zhang_lstar,0.962000,0.139351,1,1,453,2,451,0.942500,0.813500,0.563000,0.498500,,,
parity,3,cot_true,whitebox,none,0.982000,0.233163,0,0,,2,,,,,,,,DCSA failed faithfulness gate; extraction skipped.
parity,3,cot_pad,whitebox,zhang_lstar,0.967000,0.110647,1,1,688,2,686,0.914000,0.807000,0.575000,0.521500,,,
parity,4,direct,whitebox,zhang_lstar,1.000000,0.129170,1,1,8,2,6,1.000000,0.887500,0.575000,0.520500,,,
parity,4,cot_true,whitebox,zhang_lstar,1.000000,0.024621,1,1,2,2,0,1.000000,0.512000,1.000000,1.000000,,,
parity,4,cot_pad,whitebox,zhang_lstar,0.993000,0.118611,1,1,2,2,0,0.963500,0.999000,0.500500,0.479500,,,
contains_11,0,direct,whitebox,zhang_lstar,0.997000,0.038851,1,1,11,3,8,0.987500,1.000000,0.952000,0.999500,,,
contains_11,0,cot_true,whitebox,zhang_lstar,1.000000,0.009970,1,1,3,3,0,1.000000,1.000000,1.000000,1.000000,,,
contains_11,0,cot_pad,whitebox,zhang_lstar,0.997000,0.085070,1,1,3,3,0,0.979000,0.997000,1.000000,1.000000,,,
contains_11,1,direct,whitebox,zhang_lstar,0.999000,0.028313,1,1,10,3,7,0.989500,1.000000,0.943500,1.000000,,,
contains_11,1,cot_true,whitebox,zhang_lstar,1.000000,0.012063,1,1,3,3,0,1.000000,1.000000,1.000000,1.000000,,,
contains_11,1,cot_pad,whitebox,zhang_lstar,0.993000,0.103919,1,1,3,3,0,0.976500,0.999000,1.000000,1.000000,,,
contains_11,2,direct,whitebox,zhang_lstar,0.999000,0.036072,1,1,10,3,7,0.992500,1.000000,0.957500,1.000000,,,
contains_11,2,cot_true,whitebox,zhang_lstar,0.999000,0.011726,1,1,3,3,0,1.000000,1.000000,1.000000,1.000000,,,
contains_11,2,cot_pad,whitebox,zhang_lstar,0.996000,0.137578,1,1,3,3,0,0.977500,0.995500,1.000000,1.000000,,,
contains_11,3,direct,whitebox,zhang_lstar,0.999000,0.030143,1,1,10,3,7,0.987000,1.000000,0.953000,1.000000,,,
contains_11,3,cot_true,whitebox,zhang_lstar,1.000000,0.008743,1,1,4,3,1,1.000000,1.000000,1.000000,1.000000,,,
contains_11,3,cot_pad,whitebox,zhang_lstar,0.992000,0.101601,1,1,3,3,0,0.978500,0.991500,1.000000,1.000000,,,
contains_11,4,direct,whitebox,zhang_lstar,0.998000,0.030725,1,1,9,3,6,0.954000,0.999500,0.994500,1.000000,,,
contains_11,4,cot_true,whitebox,zhang_lstar,0.999000,0.013047,1,1,3,3,0,0.999000,1.000000,1.000000,1.000000,,,
contains_11,4,cot_pad,whitebox,zhang_lstar,0.991000,0.099914,1,1,3,3,0,0.981000,0.997500,1.000000,1.000000,,,
mod3,0,direct,whitebox,zhang_lstar,0.997000,0.088959,1,1,9,3,6,0.996000,1.000000,0.811500,0.657500,,,
mod3,0,cot_true,whitebox,zhang_lstar,1.000000,0.062842,1,1,3,3,0,1.000000,0.552500,1.000000,1.000000,,,
mod3,0,cot_pad,whitebox,none,0.924000,0.164938,0,0,,3,,,,,,,,DCSA failed faithfulness gate; extraction skipped.
mod3,1,direct,whitebox,zhang_lstar,0.998000,0.104677,1,1,5,3,2,0.999500,1.000000,0.747500,0.654500,,,
mod3,1,cot_true,whitebox,zhang_lstar,1.000000,0.026661,1,1,3,3,0,1.000000,0.549000,1.000000,1.000000,,,
