geometry_model,metric,model,n_points,n_states,n_strings,plot_prefix,scratchpad_mode,seed,task,value
trained,pca_explained_variance_pc1,direct,13634,2,800,parity_direct_trained_seed0,none,0,parity,0.7353103756904602
trained,pca_explained_variance_pc2,direct,13634,2,800,parity_direct_trained_seed0,none,0,parity,0.16165849566459656
trained,pca_explained_variance_sum2,direct,13634,2,800,parity_direct_trained_seed0,none,0,parity,0.8969688415527344
trained,kmeans_ari_true_state,direct,13634,2,800,parity_direct_trained_seed0,none,0,parity,0.0011386290740421523
trained,kmeans_nmi_true_state,direct,13634,2,800,parity_direct_trained_seed0,none,0,parity,0.000959363561491218
trained,kmeans_purity_true_state,direct,13634,2,800,parity_direct_trained_seed0,none,0,parity,0.5173830130555963
trained,kmeans_silhouette,direct,13634,2,800,parity_direct_trained_seed0,none,0,parity,0.5769858360290527
trained,within_state_distance,direct,13634,2,800,parity_direct_trained_seed0,none,0,parity,13.498184204101562
trained,between_state_distance,direct,13634,2,800,parity_direct_trained_seed0,none,0,parity,13.528992652893066
trained,between_within_ratio,direct,13634,2,800,parity_direct_trained_seed0,none,0,parity,1.002282414310374
trained,umap_available_and_plotted,direct,13634,2,800,parity_direct_trained_seed0,none,0,parity,1.0
random_init,pca_explained_variance_pc1,direct,13634,2,800,parity_direct_random_init_seed0,none,0,parity,0.6697282195091248
random_init,pca_explained_variance_pc2,direct,13634,2,800,parity_direct_random_init_seed0,none,0,parity,0.10327331721782684
random_init,pca_explained_variance_sum2,direct,13634,2,800,parity_direct_random_init_seed0,none,0,parity,0.7730015516281128
random_init,kmeans_ari_true_state,direct,13634,2,800,parity_direct_random_init_seed0,none,0,parity,0.003456487137733192
random_init,kmeans_nmi_true_state,direct,13634,2,800,parity_direct_random_init_seed0,none,0,parity,0.0025484632119434675
random_init,kmeans_purity_true_state,direct,13634,2,800,parity_direct_random_init_seed0,none,0,parity,0.5297051488924747
random_init,kmeans_silhouette,direct,13634,2,800,parity_direct_random_init_seed0,none,0,parity,0.5724700093269348
random_init,within_state_distance,direct,13634,2,800,parity_direct_random_init_seed0,none,0,parity,14.726018905639648
random_init,between_state_distance,direct,13634,2,800,parity_direct_random_init_seed0,none,0,parity,14.787443161010742
random_init,between_within_ratio,direct,13634,2,800,parity_direct_random_init_seed0,none,0,parity,1.00417113788626
