length,metric,model,seed,task,value
2,final_answer_accuracy,direct,0,parity,1.0
3,final_answer_accuracy,direct,0,parity,1.0
4,final_answer_accuracy,direct,0,parity,1.0
5,final_answer_accuracy,direct,0,parity,0.7866666666666666
6,final_answer_accuracy,direct,0,parity,0.81
7,final_answer_accuracy,direct,0,parity,0.8566666666666667
8,final_answer_accuracy,direct,0,parity,0.86
9,final_answer_accuracy,direct,0,parity,0.8666666666666667
10,final_answer_accuracy,direct,0,parity,0.85
11,final_answer_accuracy,direct,0,parity,0.74
12,final_answer_accuracy,direct,0,parity,0.7633333333333333
13,final_answer_accuracy,direct,0,parity,0.7
14,final_answer_accuracy,direct,0,parity,0.69
15,final_answer_accuracy,direct,0,parity,0.6433333333333333
16,final_answer_accuracy,direct,0,parity,0.6266666666666667
17,final_answer_accuracy,direct,0,parity,0.59
18,final_answer_accuracy,direct,0,parity,0.57
19,final_answer_accuracy,direct,0,parity,0.5433333333333333
20,final_answer_accuracy,direct,0,parity,0.5466666666666666
21,final_answer_accuracy,direct,0,parity,0.5266666666666666
22,final_answer_accuracy,direct,0,parity,0.5033333333333333
23,final_answer_accuracy,direct,0,parity,0.5166666666666667
24,final_answer_accuracy,direct,0,parity,0.5033333333333333
25,final_answer_accuracy,direct,0,parity,0.5
26,final_answer_accuracy,direct,0,parity,0.5
27,final_answer_accuracy,direct,0,parity,0.5033333333333333
28,final_answer_accuracy,direct,0,parity,0.5033333333333333
29,final_answer_accuracy,direct,0,parity,0.49666666666666665
30,final_answer_accuracy,direct,0,parity,0.5
31,final_answer_accuracy,direct,0,parity,0.5033333333333333
32,final_answer_accuracy,direct,0,parity,0.5
33,final_answer_accuracy,direct,0,parity,0.5
34,final_answer_accuracy,direct,0,parity,0.5
35,final_answer_accuracy,direct,0,parity,0.5
36,final_answer_accuracy,direct,0,parity,0.5
37,final_answer_accuracy,direct,0,parity,0.5
38,final_answer_accuracy,direct,0,parity,0.5
39,final_answer_accuracy,direct,0,parity,0.5
40,final_answer_accuracy,direct,0,parity,0.5
41,final_answer_accuracy,direct,0,parity,0.5
42,final_answer_accuracy,direct,0,parity,0.5
43,final_answer_accuracy,direct,0,parity,0.5
44,final_answer_accuracy,direct,0,parity,0.5
45,final_answer_accuracy,direct,0,parity,0.5
46,final_answer_accuracy,direct,0,parity,0.5
47,final_answer_accuracy,direct,0,parity,0.5
48,final_answer_accuracy,direct,0,parity,0.5
49,final_answer_accuracy,direct,0,parity,0.5
50,final_answer_accuracy,direct,0,parity,0.5
51,final_answer_accuracy,direct,0,parity,0.5
52,final_answer_accuracy,direct,0,parity,0.5
53,final_answer_accuracy,direct,0,parity,0.5
54,final_answer_accuracy,direct,0,parity,0.5
55,final_answer_accuracy,direct,0,parity,0.5
56,final_answer_accuracy,direct,0,parity,0.5
57,final_answer_accuracy,direct,0,parity,0.5
58,final_answer_accuracy,direct,0,parity,0.5
59,final_answer_accuracy,direct,0,parity,0.5
60,final_answer_accuracy,direct,0,parity,0.5
61,final_answer_accuracy,direct,0,parity,0.5
62,final_answer_accuracy,direct,0,parity,0.5
63,final_answer_accuracy,direct,0,parity,0.5
64,final_answer_accuracy,direct,0,parity,0.5
65,final_answer_accuracy,direct,0,parity,0.5
66,final_answer_accuracy,direct,0,parity,0.5
67,final_answer_accuracy,direct,0,parity,0.5
68,final_answer_accuracy,direct,0,parity,0.5
69,final_answer_accuracy,direct,0,parity,0.5
70,final_answer_accuracy,direct,0,parity,0.5
71,final_answer_accuracy,direct,0,parity,0.5
72,final_answer_accuracy,direct,0,parity,0.5
73,final_answer_accuracy,direct,0,parity,0.5
74,final_answer_accuracy,direct,0,parity,0.5
75,final_answer_accuracy,direct,0,parity,0.5
76,final_answer_accuracy,direct,0,parity,0.5
77,final_answer_accuracy,direct,0,parity,0.5
78,final_answer_accuracy,direct,0,parity,0.5
79,final_answer_accuracy,direct,0,parity,0.5
80,final_answer_accuracy,direct,0,parity,0.5
81,final_answer_accuracy,direct,0,parity,0.5
82,final_answer_accuracy,direct,0,parity,0.5
83,final_answer_accuracy,direct,0,parity,0.5
84,final_answer_accuracy,direct,0,parity,0.5
85,final_answer_accuracy,direct,0,parity,0.5
86,final_answer_accuracy,direct,0,parity,0.5
87,final_answer_accuracy,direct,0,parity,0.5
88,final_answer_accuracy,direct,0,parity,0.5
89,final_answer_accuracy,direct,0,parity,0.5
90,final_answer_accuracy,direct,0,parity,0.5
91,final_answer_accuracy,direct,0,parity,0.5
92,final_answer_accuracy,direct,0,parity,0.5
93,final_answer_accuracy,direct,0,parity,0.5
94,final_answer_accuracy,direct,0,parity,0.5
95,final_answer_accuracy,direct,0,parity,0.5
96,final_answer_accuracy,direct,0,parity,0.5
97,final_answer_accuracy,direct,0,parity,0.5
98,final_answer_accuracy,direct,0,parity,0.5
99,final_answer_accuracy,direct,0,parity,0.5
100,final_answer_accuracy,direct,0,parity,0.5
101,final_answer_accuracy,direct,0,parity,0.5
102,final_answer_accuracy,direct,0,parity,0.5
103,final_answer_accuracy,direct,0,parity,0.5
104,final_answer_accuracy,direct,0,parity,0.5
105,final_answer_accuracy,direct,0,parity,0.5
106,final_answer_accuracy,direct,0,parity,0.5
107,final_answer_accuracy,direct,0,parity,0.5
108,final_answer_accuracy,direct,0,parity,0.5
109,final_answer_accuracy,direct,0,parity,0.5
110,final_answer_accuracy,direct,0,parity,0.5
111,final_answer_accuracy,direct,0,parity,0.5
112,final_answer_accuracy,direct,0,parity,0.5
113,final_answer_accuracy,direct,0,parity,0.5
114,final_answer_accuracy,direct,0,parity,0.5
115,final_answer_accuracy,direct,0,parity,0.5
116,final_answer_accuracy,direct,0,parity,0.5
117,final_answer_accuracy,direct,0,parity,0.5
118,final_answer_accuracy,direct,0,parity,0.5
119,final_answer_accuracy,direct,0,parity,0.5
120,final_answer_accuracy,direct,0,parity,0.5
121,final_answer_accuracy,direct,0,parity,0.5
122,final_answer_accuracy,direct,0,parity,0.5
123,final_answer_accuracy,direct,0,parity,0.5
124,final_answer_accuracy,direct,0,parity,0.5
125,final_answer_accuracy,direct,0,parity,0.5
126,final_answer_accuracy,direct,0,parity,0.5
127,final_answer_accuracy,direct,0,parity,0.5
128,final_answer_accuracy,direct,0,parity,0.5
2,state_accuracy,cot_true,0,parity,1.0
2,final_answer_accuracy,cot_true,0,parity,1.0
2,transition_consistency,cot_true,0,parity,1.0
3,state_accuracy,cot_true,0,parity,1.0
3,final_answer_accuracy,cot_true,0,parity,1.0
3,transition_consistency,cot_true,0,parity,1.0
4,state_accuracy,cot_true,0,parity,1.0
4,final_answer_accuracy,cot_true,0,parity,1.0
